"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H3,H2,H1";"MountingHole_3mm";3;"MountingHole";;;
2;"J2";"CONN3_OSTVN03A150_OST";1;"Conn_3_screw_OSTVN03A150";;;
3;"C4";"10uF_400v_ESG106M400AH4AA";1;"10uF 400V";;;
4;"R2,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"330";;;
5;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"220";;;
6;"C6,C3,C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";3;"0.1uF 50V";;;
7;"CR1";"MUR160G";1;"MUR160G";;;
8;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"470uF 25V";;;
9;"U1";"TO-220-3_Vertical";1;"LM317_TO-220";;;
10;"R6";"10k_Trimmer_PV36W103C01B00";1;"10K_Trimmer";;;
11;"D3";"BZT3C240";1;"BZT3C240";;;
12;"R7,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"390K";;;
13;"F1";"AHRF050_30v_500mA_polyfuse";1;"30V 500mA";;;
14;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5819";;;
15;"J1";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
16;"HS1,HS2";"AVVID-577202B-00000G";2;"Heatsink";;;
17;"Q1";"TO-220-3_Vertical";1;"IRF730 TO220-3";;;
18;"L1";"L_Radial_D7.8mm_P5.00mm_Fastron_07HCP";1;"200uH 1A 450m";;;
19;"J3";"CONN_OSTVN02A150_OST";1;"Conn_2_screw_OSTVN02A150";;;
20;"Q2";"TO-92_HandSolder";1;"ZTX857";;;
21;"D2";"D_A-405_P7.62mm_Horizontal";1;"1N4002";;;
22;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1M";;;
23;"C5";"1.0uF_160V_CAPPRD200W50D525H1250";1;"1.0uF 160V";;;
